Semana,Inicio,Fin,Tema,Tipo,No.,Canción,Artista,Spotify_URL,Spotify_Embed_URL
2,2026-09-13,2026-09-19,Dios está contigo,Alabanza de confianza,9,Mover Tu Corazón,Miel San Marcos / Un Corazón,https://open.spotify.com/playlist/5F6rQTr0tcSA5lAnBYBvKA,https://open.spotify.com/embed/playlist/5F6rQTr0tcSA5lAnBYBvKA
2,2026-09-13,2026-09-19,Dios está contigo,Alabanza de confianza,10,Fiel Hasta El Final,Vida,https://open.spotify.com/playlist/5F6rQTr0tcSA5lAnBYBvKA,https://open.spotify.com/embed/playlist/5F6rQTr0tcSA5lAnBYBvKA
2,2026-09-13,2026-09-19,Dios está contigo,Alabanza de confianza,11,El Dios Que Me Ve,Jessica Ordoñez,https://open.spotify.com/playlist/5F6rQTr0tcSA5lAnBYBvKA,https://open.spotify.com/embed/playlist/5F6rQTr0tcSA5lAnBYBvKA
2,2026-09-13,2026-09-19,Dios está contigo,Alabanza de confianza,12,Gracias,Elevation Español,https://open.spotify.com/playlist/5F6rQTr0tcSA5lAnBYBvKA,https://open.spotify.com/embed/playlist/5F6rQTr0tcSA5lAnBYBvKA
3,2026-09-20,2026-09-26,Caminar en fe,Alabanza de ministración,1,Quiero Conocer a Jesús (Yeshua) / Quiero Conocer a Jesús (Yeshua),Generación 12,https://open.spotify.com/playlist/4OCFVEQuxFFFCYT6iZLjgQ,https://open.spotify.com/embed/playlist/4OCFVEQuxFFFCYT6iZLjgQ
3,2026-09-20,2026-09-26,Caminar en fe,Alabanza de ministración,2,Jesús en el Centro (En Vivo),Selah Worship / Factor de Cambio,https://open.spotify.com/playlist/4OCFVEQuxFFFCYT6iZLjgQ,https://open.spotify.com/embed/playlist/4OCFVEQuxFFFCYT6iZLjgQ
3,2026-09-20,2026-09-26,Caminar en fe,Alabanza de ministración,3,Santo Espíritu - Live,Averly Morillo,https://open.spotify.com/playlist/4OCFVEQuxFFFCYT6iZLjgQ,https://open.spotify.com/embed/playlist/4OCFVEQuxFFFCYT6iZLjgQ
3,2026-09-20,2026-09-26,Caminar en fe,Alabanza de ministración,4,No Hay Lugar Más Alto (En Vivo),Miel San Marcos / Christine D’Clario,https://open.spotify.com/playlist/4OCFVEQuxFFFCYT6iZLjgQ,https://open.spotify.com/embed/playlist/4OCFVEQuxFFFCYT6iZLjgQ
3,2026-09-20,2026-09-26,Caminar en fe,Alabanza de ministración,5,"Corro a Ti, Padre",Essential Worship / La Bondad de Dios,https://open.spotify.com/playlist/4OCFVEQuxFFFCYT6iZLjgQ,https://open.spotify.com/embed/playlist/4OCFVEQuxFFFCYT6iZLjgQ
3,2026-09-20,2026-09-26,Caminar en fe,Alabanza de ministración,6,Como Me Amas,Evan Craft,https://open.spotify.com/playlist/4OCFVEQuxFFFCYT6iZLjgQ,https://open.spotify.com/embed/playlist/4OCFVEQuxFFFCYT6iZLjgQ
3,2026-09-20,2026-09-26,Caminar en fe,Alabanza de ministración,7,Desesperado,Mosaic MSC,https://open.spotify.com/playlist/4OCFVEQuxFFFCYT6iZLjgQ,https://open.spotify.com/embed/playlist/4OCFVEQuxFFFCYT6iZLjgQ
3,2026-09-20,2026-09-26,Caminar en fe,Alabanza de ministración,8,Mover Tu Corazón,Miel San Marcos / Un Corazón,https://open.spotify.com/playlist/4OCFVEQuxFFFCYT6iZLjgQ,https://open.spotify.com/embed/playlist/4OCFVEQuxFFFCYT6iZLjgQ
3,2026-09-20,2026-09-26,Caminar en fe,Alabanza de ministración,9,Yo Soy Tu Amado,Marcos Brunet,https://open.spotify.com/playlist/4OCFVEQuxFFFCYT6iZLjgQ,https://open.spotify.com/embed/playlist/4OCFVEQuxFFFCYT6iZLjgQ
3,2026-09-20,2026-09-26,Caminar en fe,Alabanza de ministración,10,Al Estar Aquí,Marcos Witt / TAYA,https://open.spotify.com/playlist/4OCFVEQuxFFFCYT6iZLjgQ,https://open.spotify.com/embed/playlist/4OCFVEQuxFFFCYT6iZLjgQ
3,2026-09-20,2026-09-26,Caminar en fe,Alabanza de ministración,11,Santo Por Siempre,ECCOS,https://open.spotify.com/playlist/4OCFVEQuxFFFCYT6iZLjgQ,https://open.spotify.com/embed/playlist/4OCFVEQuxFFFCYT6iZLjgQ
3,2026-09-20,2026-09-26,Caminar en fe,Alabanza de ministración,12,La Bendición (The Blessing),Elevation Worship,https://open.spotify.com/playlist/4OCFVEQuxFFFCYT6iZLjgQ,https://open.spotify.com/embed/playlist/4OCFVEQuxFFFCYT6iZLjgQ
4,2026-09-27,2026-09-30,Servir con amor,Alabanza de consagración,1,Contempladle,Paul Baloche / Josh Morales / Waleska Morales,https://open.spotify.com/playlist/0sdeDFHtoRz1tfcbtnnSv5,https://open.spotify.com/embed/playlist/0sdeDFHtoRz1tfcbtnnSv5
4,2026-09-27,2026-09-30,Servir con amor,Alabanza de consagración,2,Poderoso Dios (Grande y Fiel) - Live,Gateway Worship Español / Miel San Marcos,https://open.spotify.com/playlist/0sdeDFHtoRz1tfcbtnnSv5,https://open.spotify.com/embed/playlist/0sdeDFHtoRz1tfcbtnnSv5
4,2026-09-27,2026-09-30,Servir con amor,Alabanza de consagración,3,Júbilo,Miel San Marcos,https://open.spotify.com/playlist/0sdeDFHtoRz1tfcbtnnSv5,https://open.spotify.com/embed/playlist/0sdeDFHtoRz1tfcbtnnSv5
4,2026-09-27,2026-09-30,Servir con amor,Alabanza de consagración,4,Viento Y Fuego,Elevation Español,https://open.spotify.com/playlist/0sdeDFHtoRz1tfcbtnnSv5,https://open.spotify.com/embed/playlist/0sdeDFHtoRz1tfcbtnnSv5
4,2026-09-27,2026-09-30,Servir con amor,Alabanza de consagración,5,Resucitó,Gateway Worship Español / Miel San Marcos,https://open.spotify.com/playlist/0sdeDFHtoRz1tfcbtnnSv5,https://open.spotify.com/embed/playlist/0sdeDFHtoRz1tfcbtnnSv5
4,2026-09-27,2026-09-30,Servir con amor,Alabanza de consagración,6,Es Él - En Vivo,Felipe S. Santos / Marcos Brunet,https://open.spotify.com/playlist/0sdeDFHtoRz1tfcbtnnSv5,https://open.spotify.com/embed/playlist/0sdeDFHtoRz1tfcbtnnSv5
4,2026-09-27,2026-09-30,Servir con amor,Alabanza de consagración,7,Yo soy la ofrenda - Live,Montesanto,https://open.spotify.com/playlist/0sdeDFHtoRz1tfcbtnnSv5,https://open.spotify.com/embed/playlist/0sdeDFHtoRz1tfcbtnnSv5
4,2026-09-27,2026-09-30,Servir con amor,Alabanza de consagración,8,Que Vuelva Lo Santo Al Altar,Grupo Grace / Montesanto,https://open.spotify.com/playlist/0sdeDFHtoRz1tfcbtnnSv5,https://open.spotify.com/embed/playlist/0sdeDFHtoRz1tfcbtnnSv5
4,2026-09-27,2026-09-30,Servir con amor,Alabanza de consagración,9,Primero Nos Amó,Matthew Hotton / Marcos Witt,https://open.spotify.com/playlist/0sdeDFHtoRz1tfcbtnnSv5,https://open.spotify.com/embed/playlist/0sdeDFHtoRz1tfcbtnnSv5
4,2026-09-27,2026-09-30,Servir con amor,Alabanza de consagración,10,Atributos,R3MANENT3,https://open.spotify.com/playlist/0sdeDFHtoRz1tfcbtnnSv5,https://open.spotify.com/embed/playlist/0sdeDFHtoRz1tfcbtnnSv5
4,2026-09-27,2026-09-30,Servir con amor,Alabanza de consagración,11,Tu amor no tiene fin,Factor de Cambio / Selah Worship,https://open.spotify.com/playlist/0sdeDFHtoRz1tfcbtnnSv5,https://open.spotify.com/embed/playlist/0sdeDFHtoRz1tfcbtnnSv5
4,2026-09-27,2026-09-30,Servir con amor,Alabanza de consagración,12,Rey de Justicia / Perfume a tus Pies,En Espíritu Y En Verdad,https://open.spotify.com/playlist/0sdeDFHtoRz1tfcbtnnSv5,https://open.spotify.com/embed/playlist/0sdeDFHtoRz1tfcbtnnSv5
